a52dec 0.8.0-2
aalib 1.4rc5-17
abseil-cpp 20230802.1-1.1
accountsservice 23.13.9-1
acl 2.3.1-3
acpi 1.7-3.1
acpid 2.0.34-1
acpid-runit 20220314-1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-1
adwaita-cursors 45.0-1
adwaita-icon-theme 45.0-1
alsa-card-profiles 1:1.0.0-2.1
alsa-firmware 1.2.4-3
alsa-lib 1.2.10-2
alsa-plugins 1:1.2.7.1-2
alsa-tools 1.2.5-2
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.10-2
alsa-utils 1.2.10-1
alsa-utils-runit 20220321-1
amd-ucode 20231211.f2e52a1c-1
aom 3.8.0-2
appstream 1.0.1-1
archlinux-keyring 20231222-1
archlinux-mirrorlist 20230820-1
argon2 20190702-5
arm-linux-gnueabihf-binutils 2.41-1
arm-linux-gnueabihf-gcc-stage2 13.2.0-2
arm-linux-gnueabihf-glibc 2.38-4
arm-linux-gnueabihf-linux-api-headers 6.6.8-1
artix-archlinux-support 2-1
artix-backgrounds 2023.12-7
artix-dark-theme 20201126-4
artix-desktop-presets 20230924-1
artix-grub-theme 2023.12-7
artix-gtk-presets 20230924-1
artix-icons 2023.12-7
artix-keyring 20220901-2
artix-mirrorlist 20231003-1
artix-qt-presets 20230924-1
at-spi2-core 2.50.0-1
atkmm 2.28.3-1
atril 1.27.0-1
attr 2.5.1-3
audit 3.1.2-1
autoconf 2.72-1
automake 1.16.5-2
avahi 1:0.8+r189+g35bb1ba-1
avahi-runit 20180226-3
b43-fwcutter 019-4
babl 0.1.106-1
base 3-4
base-devel 1-1
bash 5.2.021-1
bat 0.24.0-1
binutils 2.41-3
bison 3.8.2-6
blas 3.12.0-3
blocaled 0.5-1
blockbench-bin 4.9.2-1
blueberry 1.4.8-1
bluez 5.71-3
bluez-libs 5.71-3
bluez-runit 20180226-5
bluez-tools 0.2.0-5
boost-libs 1.83.0-4
broadcom-wl 6.30.223.271-518
brotli 1.1.0-1
btrfs-progs 6.6.3-1
bubblewrap 0.8.0-1
bzip2 1.0.8-5
c-ares 1.25.0-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.96.1-1
ca-certificates-utils 20220905-1
cabextract 1.11-1
cairo 1.18.0-1
cairomm 1.14.5-1
cantarell-fonts 1:0.303.1-1
caribou 0.4.21+75+g8ad9883-5
ccache 4.8.3-1
cdparanoia 10.2-9
chafa 1.12.4-3
chromaprint 1.5.1-7
cifs-utils 7.0-3
cinnamon 6.0.2-1
cinnamon-control-center 6.0.0-1
cinnamon-desktop 6.0.0-1
cinnamon-menus 6.0.0-1
cinnamon-screensaver 6.0.1-1
